* atan2Rev1
[-inf,inf] | [-inf,-4] | [-inf,inf]
[-4,0]     | [   3, 4] | [-inf,inf]
[-4,3]     | [   3, 4] | [-inf,inf]
[-4,inf]   | [   3, 4] | [-inf,inf]
[0,0]      | [   3, 4] | [-inf,inf]
[0,3]      | [   3, 4] | [-inf,inf]
[0,inf]    | [   3, 4] | [-inf,inf]
[3,4]      | [   3, 4] | [-inf,inf]
[3,inf]    | [   3, 4] | [-inf,inf]

[-inf,-3]  | [  4,inf] | [-inf,inf]
[-inf,0]   | [  4,inf] | [-inf,inf]
[-inf,3]   | [  4,inf] | [-inf,inf]
[-inf,inf] | [  4,inf] | [-inf,inf]
[-4,-3]    | [  4,inf] | [-inf,inf]
[-4,0]     | [  4,inf] | [-inf,inf]
[-4,3]     | [  4,inf] | [-inf,inf]
[-4,inf]   | [  4,inf] | [-inf,inf]
[0,0]      | [  4,inf] | [-inf,inf]
[0,3]      | [  4,inf] | [-inf,inf]
[0,inf]    | [  4,inf] | [-inf,inf]
[3,4]      | [  4,inf] | [-inf,inf]
[3,inf]    | [  4,inf] | [-inf,inf]

#
[-inf,inf] | [-inf,-4] | [-inf,0]

[-inf,-3]  | [-inf,-3] | [-inf,0]
[-inf,0]   | [-inf,-3] | [-inf,0]
[-inf,3]   | [-inf,-3] | [-inf,0]
[-inf,inf] | [-inf,-3] | [-inf,0]
[-4,-3]    | [-inf,-3] | [-inf,0]
[-4,0]     | [-inf,-3] | [-inf,0]
[-4,3]     | [-inf,-3] | [-inf,0]
[-4,inf]   | [-inf,-3] | [-inf,0]
[0,0]      | [-inf,-3] | [-inf,0]
[0,3]      | [-inf,-3] | [-inf,0]
[0,inf]    | [-inf,-3] | [-inf,0]
[3,4]      | [-inf,-3] | [-inf,0]
[3,inf]    | [-inf,-3] | [-inf,0]

[-inf,-3]  | [  -3,-2] | [-inf,0]
[-inf,0]   | [  -3,-2] | [-inf,0]
[-inf,3]   | [  -3,-2] | [-inf,0]
[-inf,inf] | [  -3,-2] | [-inf,0]
[-4,-3]    | [  -3,-2] | [-inf,0]
[-4,0]     | [  -3,-2] | [-inf,0]
[-4,3]     | [  -3,-2] | [-inf,0]
[-4,inf]   | [  -3,-2] | [-inf,0]
[0,0]      | [  -3,-2] | [-inf,0]
[0,3]      | [  -3,-2] | [-inf,0]
[0,inf]    | [  -3,-2] | [-inf,0]
[3,4]      | [  -3,-2] | [-inf,0]
[3,inf]    | [  -3,-2] | [-inf,0]

[-inf,-3]  | [  -2,-1] | [-inf,0]
[-inf,0]   | [  -2,-1] | [-inf,0]
[-inf,3]   | [  -2,-1] | [-inf,0]
[-inf,inf] | [  -2,-1] | [-inf,0]
[-4,-3]    | [  -2,-1] | [-inf,0]
[-4,0]     | [  -2,-1] | [-inf,0]
[-4,3]     | [  -2,-1] | [-inf,0]
[-4,inf]   | [  -2,-1] | [-inf,0]
[0,0]      | [  -2,-1] | [-inf,0]
[0,3]      | [  -2,-1] | [-inf,0]
[0,inf]    | [  -2,-1] | [-inf,0]
[3,4]      | [  -2,-1] | [-inf,0]
[3,inf]    | [  -2,-1] | [-inf,0]

[-inf,-3]  | [  -1, 0] | [-inf,0]
[-inf,0]   | [  -1, 0] | [-inf,0]
[-inf,3]   | [  -1, 0] | [-inf,0]
[-inf,inf] | [  -1, 0] | [-inf,0]
[-4,-3]    | [  -1, 0] | [-inf,0]
[-4,0]     | [  -1, 0] | [-inf,0]
[-4,3]     | [  -1, 0] | [-inf,0]
[-4,inf]   | [  -1, 0] | [-inf,0]
[0,0]      | [  -1, 0] | [-inf,0]
[0,3]      | [  -1, 0] | [-inf,0]
[0,inf]    | [  -1, 0] | [-inf,0]
[3,4]      | [  -1, 0] | [-inf,0]
[3,inf]    | [  -1, 0] | [-inf,0]

[-inf,-3]  | [  -1, 1] | [-inf,0]
[-inf,0]   | [  -1, 1] | [-inf,0]
[-inf,3]   | [  -1, 1] | [-inf,0]
[-inf,inf] | [  -1, 1] | [-inf,0]
[-4,-3]    | [  -1, 1] | [-inf,0]
[-4,0]     | [  -1, 1] | [-inf,0]
[-4,3]     | [  -1, 1] | [-inf,0]
[-4,inf]   | [  -1, 1] | [-inf,0]
[0,0]      | [  -1, 1] | [-inf,0]
[0,3]      | [  -1, 1] | [-inf,0]
[0,inf]    | [  -1, 1] | [-inf,0]
[3,4]      | [  -1, 1] | [-inf,0]
[3,inf]    | [  -1, 1] | [-inf,0]

[-inf,-3]  | [   0, 0] | [-inf,0]
[-inf,0]   | [   0, 0] | [-inf,0]
[-inf,3]   | [   0, 0] | [-inf,0]
[-inf,inf] | [   0, 0] | [-inf,0]
[-4,-3]    | [   0, 0] | [-inf,0]
[-4,0]     | [   0, 0] | [-inf,0]
[-4,3]     | [   0, 0] | [-inf,0]
[-4,inf]   | [   0, 0] | [-inf,0]
[0,0]      | [   0, 0] | [-inf,0]
[0,3]      | [   0, 0] | [-inf,0]
[0,inf]    | [   0, 0] | [-inf,0]
[3,4]      | [   0, 0] | [-inf,0]
[3,inf]    | [   0, 0] | [-inf,0]

[-inf,-3]  | [   0, 1] | [-inf,0]
[-inf,0]   | [   0, 1] | [-inf,0]
[-inf,3]   | [   0, 1] | [-inf,0]
[-inf,inf] | [   0, 1] | [-inf,0]
[-4,-3]    | [   0, 1] | [-inf,0]
[-4,0]     | [   0, 1] | [-inf,0]
[-4,3]     | [   0, 1] | [-inf,0]
[-4,inf]   | [   0, 1] | [-inf,0]
[0,0]      | [   0, 1] | [-inf,0]
[0,3]      | [   0, 1] | [-inf,0]
[0,inf]    | [   0, 1] | [-inf,0]
[3,4]      | [   0, 1] | [-inf,0]
[3,inf]    | [   0, 1] | [-inf,0]

[-inf,-3]  | [   1, 2] | [-inf,0]
[-inf,0]   | [   1, 2] | [-inf,0]
[-inf,3]   | [   1, 2] | [-inf,0]
[-inf,inf] | [   1, 2] | [-inf,0]
[-4,-3]    | [   1, 2] | [-inf,0]
[-4,0]     | [   1, 2] | [-inf,0]
[-4,3]     | [   1, 2] | [-inf,0]
[-4,inf]   | [   1, 2] | [-inf,0]
[0,0]      | [   1, 2] | [-inf,0]
[0,3]      | [   1, 2] | [-inf,0]
[0,inf]    | [   1, 2] | [-inf,0]
[3,4]      | [   1, 2] | [-inf,0]
[3,inf]    | [   1, 2] | [-inf,0]

[-inf,-3]  | [   2, 3] | [-inf,0]
[-inf,0]   | [   2, 3] | [-inf,0]
[-inf,3]   | [   2, 3] | [-inf,0]
[-inf,inf] | [   2, 3] | [-inf,0]
[-4,-3]    | [   2, 3] | [-inf,0]
[-4,0]     | [   2, 3] | [-inf,0]
[-4,3]     | [   2, 3] | [-inf,0]
[-4,inf]   | [   2, 3] | [-inf,0]
[0,0]      | [   2, 3] | [-inf,0]
[0,3]      | [   2, 3] | [-inf,0]
[0,inf]    | [   2, 3] | [-inf,0]
[3,4]      | [   2, 3] | [-inf,0]
[3,inf]    | [   2, 3] | [-inf,0]

[-inf,-3]  | [   3, 4] | [-inf,0]
[-inf,0]   | [   3, 4] | [-inf,0]
[-inf,3]   | [   3, 4] | [-inf,0]
[-inf,inf] | [   3, 4] | [-inf,0]
[-4,-3]    | [   3, 4] | [-inf,0]
[-4,0]     | [   3, 4] | [-inf,0]
[-4,3]     | [   3, 4] | [-inf,0]
[-4,inf]   | [   3, 4] | [-inf,0]
[0,0]      | [   3, 4] | [-inf,0]
[0,3]      | [   3, 4] | [-inf,0]
[0,inf]    | [   3, 4] | [-inf,0]
[3,4]      | [   3, 4] | [-inf,0]
[3,inf]    | [   3, 4] | [-inf,0]

[-inf,-3]  | [  4,inf] | [-inf,0]
[-inf,0]   | [  4,inf] | [-inf,0]
[-inf,3]   | [  4,inf] | [-inf,0]
[-inf,inf] | [  4,inf] | [-inf,0]
[-4,-3]    | [  4,inf] | [-inf,0]
[-4,0]     | [  4,inf] | [-inf,0]
[-4,3]     | [  4,inf] | [-inf,0]
[-4,inf]   | [  4,inf] | [-inf,0]
[0,0]      | [  4,inf] | [-inf,0]
[0,3]      | [  4,inf] | [-inf,0]
[0,inf]    | [  4,inf] | [-inf,0]
[3,4]      | [  4,inf] | [-inf,0]
[3,inf]    | [  4,inf] | [-inf,0]

#
[-inf,inf] | [-inf,-4] | [0,inf]

[-inf,-3]  | [-inf,-3] | [0,inf]
[-inf,0]   | [-inf,-3] | [0,inf]
[-inf,3]   | [-inf,-3] | [0,inf]
[-inf,inf] | [-inf,-3] | [0,inf]
[-4,-3]    | [-inf,-3] | [0,inf]
[-4,0]     | [-inf,-3] | [0,inf]
[-4,3]     | [-inf,-3] | [0,inf]
[-4,inf]   | [-inf,-3] | [0,inf]
[0,0]      | [-inf,-3] | [0,inf]
[0,3]      | [-inf,-3] | [0,inf]
[0,inf]    | [-inf,-3] | [0,inf]
[3,4]      | [-inf,-3] | [0,inf]
[3,inf]    | [-inf,-3] | [0,inf]

[-inf,-3]  | [  -3,-2] | [0,inf]
[-inf,0]   | [  -3,-2] | [0,inf]
[-inf,3]   | [  -3,-2] | [0,inf]
[-inf,inf] | [  -3,-2] | [0,inf]
[-4,-3]    | [  -3,-2] | [0,inf]
[-4,0]     | [  -3,-2] | [0,inf]
[-4,3]     | [  -3,-2] | [0,inf]
[-4,inf]   | [  -3,-2] | [0,inf]
[0,0]      | [  -3,-2] | [0,inf]
[0,3]      | [  -3,-2] | [0,inf]
[0,inf]    | [  -3,-2] | [0,inf]
[3,4]      | [  -3,-2] | [0,inf]
[3,inf]    | [  -3,-2] | [0,inf]

[-inf,-3]  | [  -2,-1] | [0,inf]
[-inf,0]   | [  -2,-1] | [0,inf]
[-inf,3]   | [  -2,-1] | [0,inf]
[-inf,inf] | [  -2,-1] | [0,inf]
[-4,-3]    | [  -2,-1] | [0,inf]
[-4,0]     | [  -2,-1] | [0,inf]
[-4,3]     | [  -2,-1] | [0,inf]
[-4,inf]   | [  -2,-1] | [0,inf]
[0,0]      | [  -2,-1] | [0,inf]
[0,3]      | [  -2,-1] | [0,inf]
[0,inf]    | [  -2,-1] | [0,inf]
[3,4]      | [  -2,-1] | [0,inf]
[3,inf]    | [  -2,-1] | [0,inf]

[-inf,-3]  | [  -1, 0] | [0,inf]
[-inf,0]   | [  -1, 0] | [0,inf]
[-inf,3]   | [  -1, 0] | [0,inf]
[-inf,inf] | [  -1, 0] | [0,inf]
[-4,-3]    | [  -1, 0] | [0,inf]
[-4,0]     | [  -1, 0] | [0,inf]
[-4,3]     | [  -1, 0] | [0,inf]
[-4,inf]   | [  -1, 0] | [0,inf]
[0,0]      | [  -1, 0] | [0,inf]
[0,3]      | [  -1, 0] | [0,inf]
[0,inf]    | [  -1, 0] | [0,inf]
[3,4]      | [  -1, 0] | [0,inf]
[3,inf]    | [  -1, 0] | [0,inf]

[-inf,-3]  | [  -1, 1] | [0,inf]
[-inf,0]   | [  -1, 1] | [0,inf]
[-inf,3]   | [  -1, 1] | [0,inf]
[-inf,inf] | [  -1, 1] | [0,inf]
[-4,-3]    | [  -1, 1] | [0,inf]
[-4,0]     | [  -1, 1] | [0,inf]
[-4,3]     | [  -1, 1] | [0,inf]
[-4,inf]   | [  -1, 1] | [0,inf]
[0,0]      | [  -1, 1] | [0,inf]
[0,3]      | [  -1, 1] | [0,inf]
[0,inf]    | [  -1, 1] | [0,inf]
[3,4]      | [  -1, 1] | [0,inf]
[3,inf]    | [  -1, 1] | [0,inf]

[-inf,-3]  | [   0, 0] | [0,inf]
[-inf,0]   | [   0, 0] | [0,inf]
[-inf,3]   | [   0, 0] | [0,inf]
[-inf,inf] | [   0, 0] | [0,inf]
[-4,-3]    | [   0, 0] | [0,inf]
[-4,0]     | [   0, 0] | [0,inf]
[-4,3]     | [   0, 0] | [0,inf]
[-4,inf]   | [   0, 0] | [0,inf]
[0,0]      | [   0, 0] | [0,inf]
[0,3]      | [   0, 0] | [0,inf]
[0,inf]    | [   0, 0] | [0,inf]
[3,4]      | [   0, 0] | [0,inf]
[3,inf]    | [   0, 0] | [0,inf]

[-inf,-3]  | [   0, 1] | [0,inf]
[-inf,0]   | [   0, 1] | [0,inf]
[-inf,3]   | [   0, 1] | [0,inf]
[-inf,inf] | [   0, 1] | [0,inf]
[-4,-3]    | [   0, 1] | [0,inf]
[-4,0]     | [   0, 1] | [0,inf]
[-4,3]     | [   0, 1] | [0,inf]
[-4,inf]   | [   0, 1] | [0,inf]
[0,0]      | [   0, 1] | [0,inf]
[0,3]      | [   0, 1] | [0,inf]
[0,inf]    | [   0, 1] | [0,inf]
[3,4]      | [   0, 1] | [0,inf]
[3,inf]    | [   0, 1] | [0,inf]

[-inf,-3]  | [   1, 2] | [0,inf]
[-inf,0]   | [   1, 2] | [0,inf]
[-inf,3]   | [   1, 2] | [0,inf]
[-inf,inf] | [   1, 2] | [0,inf]
[-4,-3]    | [   1, 2] | [0,inf]
[-4,0]     | [   1, 2] | [0,inf]
[-4,3]     | [   1, 2] | [0,inf]
[-4,inf]   | [   1, 2] | [0,inf]
[0,0]      | [   1, 2] | [0,inf]
[0,3]      | [   1, 2] | [0,inf]
[0,inf]    | [   1, 2] | [0,inf]
[3,4]      | [   1, 2] | [0,inf]
[3,inf]    | [   1, 2] | [0,inf]

[-inf,-3]  | [   2, 3] | [0,inf]
[-inf,0]   | [   2, 3] | [0,inf]
[-inf,3]   | [   2, 3] | [0,inf]
[-inf,inf] | [   2, 3] | [0,inf]
[-4,-3]    | [   2, 3] | [0,inf]
[-4,0]     | [   2, 3] | [0,inf]
[-4,3]     | [   2, 3] | [0,inf]
[-4,inf]   | [   2, 3] | [0,inf]
[0,0]      | [   2, 3] | [0,inf]
[0,3]      | [   2, 3] | [0,inf]
[0,inf]    | [   2, 3] | [0,inf]
[3,4]      | [   2, 3] | [0,inf]
[3,inf]    | [   2, 3] | [0,inf]

[-inf,-3]  | [   3, 4] | [0,inf]
[-inf,0]   | [   3, 4] | [0,inf]
[-inf,3]   | [   3, 4] | [0,inf]
[-inf,inf] | [   3, 4] | [0,inf]
[-4,-3]    | [   3, 4] | [0,inf]
[-4,0]     | [   3, 4] | [0,inf]
[-4,3]     | [   3, 4] | [0,inf]
[-4,inf]   | [   3, 4] | [0,inf]
[0,0]      | [   3, 4] | [0,inf]
[0,3]      | [   3, 4] | [0,inf]
[0,inf]    | [   3, 4] | [0,inf]
[3,4]      | [   3, 4] | [0,inf]
[3,inf]    | [   3, 4] | [0,inf]

[-inf,-3]  | [  4,inf] | [0,inf]
[-inf,0]   | [  4,inf] | [0,inf]
[-inf,3]   | [  4,inf] | [0,inf]
[-inf,inf] | [  4,inf] | [0,inf]
[-4,-3]    | [  4,inf] | [0,inf]
[-4,0]     | [  4,inf] | [0,inf]
[-4,3]     | [  4,inf] | [0,inf]
[-4,inf]   | [  4,inf] | [0,inf]
[0,0]      | [  4,inf] | [0,inf]
[0,3]      | [  4,inf] | [0,inf]
[0,inf]    | [  4,inf] | [0,inf]
[3,4]      | [  4,inf] | [0,inf]
[3,inf]    | [  4,inf] | [0,inf]

* mulRev
# c > 0
[1,inf] | [1,inf] |  [-inf,0]
[0,inf] | [1,inf] | [-inf,0]
[-1,inf] | [1,inf] | [-0.75,0]
[-inf,inf] | [1,inf] | [0,0]
[-inf,1] | [1,inf] | [0,0.75]
[-inf,0] | [1,inf] | [0,inf]
[-inf,-1] | [1,inf] | [0,inf]
# c < 0
[1,inf] | [-inf,-1] | [0,inf]
[0,inf] | [-inf,-1] | [0,inf]
[-1,inf] | [-inf,-1] | [0,0.75]
[-inf,inf] | [-inf,-1] | [0,0]
[-inf,1] | [-inf,-1] | [-0.75,0]
[-inf,0] | [-inf,-1] | [-inf,0]
[-inf,-1] | [-inf,-1] | [-inf,0]

# c contains 0
[-inf,-0.5] | [-inf,0] | [-inf,inf]
[-inf,0] | [-inf,0] | [-inf,inf]
[-inf,0.5] | [-inf,0] | [-inf,inf]
[-inf,inf] | [-inf,0] | [-inf,inf]
[-0.5,-0.5] | [-inf,0] | [-inf,inf]
[-0.5,0] | [-inf,0] | [-inf,inf]
[-0.5,0.5] | [-inf,0] | [-inf,inf]
[-0.5,inf] | [-inf,0] | [-inf,inf]
[0,0] | [-inf,0] | [-inf,inf]
[0,0.5] | [-inf,0] | [-inf,inf]
[0,inf] | [-inf,0] | [-inf,inf]
[0.5,0.5] | [-inf,0] | [-inf,inf]
[0.5,inf] | [-inf,0] | [-inf,inf]

[-inf,-0.5] | [-inf,0.5] | [-inf,inf]
[-inf,0] | [-inf,0.5] | [-inf,inf]
[-inf,0.5] | [-inf,0.5] | [-inf,inf]
[-inf,inf] | [-inf,0.5] | [-inf,inf]
[-0.5,-0.5] | [-inf,0.5] | [-inf,inf]
[-0.5,0] | [-inf,0.5] | [-inf,inf]
[-0.5,0.5] | [-inf,0.5] | [-inf,inf]
[-0.5,inf] | [-inf,0.5] | [-inf,inf]
[0,0] | [-inf,0.5] | [-inf,inf]
[0,0.5] | [-inf,0.5] | [-inf,inf]
[0,inf] | [-inf,0.5] | [-inf,inf]
[0.5,0.5] | [-inf,0.5] | [-inf,inf]
[0.5,inf] | [-inf,0.5] | [-inf,inf]

[-inf,-0.5] | [-inf,inf] | [-inf,inf]
[-inf,0] | [-inf,inf] | [-inf,inf]
[-inf,0.5] | [-inf,inf] | [-inf,inf]
[-inf,inf] | [-inf,inf] | [-inf,inf]
[-0.5,-0.5] | [-inf,inf] | [-inf,inf]
[-0.5,0] | [-inf,inf] | [-inf,inf]
[-0.5,0.5] | [-inf,inf] | [-inf,inf]
[-0.5,inf] | [-inf,inf] | [-inf,inf]
[0,0] | [-inf,inf] | [-inf,inf]
[0,0.5] | [-inf,inf] | [-inf,inf]
[0,inf] | [-inf,inf] | [-inf,inf]
[0.5,0.5] | [-inf,inf] | [-inf,inf]
[0.5,inf] | [-inf,inf] | [-inf,inf]


[-inf,-0.5] | [-0.5,0] | [-inf,inf]
[-inf,0] | [-0.5,0] | [-inf,inf]
[-inf,0.5] | [-0.5,0] | [-inf,inf]
[-inf,inf] | [-0.5,0] | [-inf,inf]
[-0.5,-0.5] | [-0.5,0] | [-inf,inf]
[-0.5,0] | [-0.5,0] | [-inf,inf]
[-0.5,0.5] | [-0.5,0] | [-inf,inf]
[-0.5,inf] | [-0.5,0] | [-inf,inf]
[0,0] | [-0.5,0] | [-inf,inf]
[0,0.5] | [-0.5,0] | [-inf,inf]
[0,inf] | [-0.5,0] | [-inf,inf]
[0.5,0.5] | [-0.5,0] | [-inf,inf]
[0.5,inf] | [-0.5,0] | [-inf,inf]

[-inf,-0.5] | [-0.5,0.5] | [-inf,inf]
[-inf,0] | [-0.5,0.5] | [-inf,inf]
[-inf,0.5] | [-0.5,0.5] | [-inf,inf]
[-inf,inf] | [-0.5,0.5] | [-inf,inf]
[-0.5,-0.5] | [-0.5,0.5] | [-inf,inf]
[-0.5,0] | [-0.5,0.5] | [-inf,inf]
[-0.5,0.5] | [-0.5,0.5] | [-inf,inf]
[-0.5,inf] | [-0.5,0.5] | [-inf,inf]
[0,0] | [-0.5,0.5] | [-inf,inf]
[0,0.5] | [-0.5,0.5] | [-inf,inf]
[0,inf] | [-0.5,0.5] | [-inf,inf]
[0.5,0.5] | [-0.5,0.5] | [-inf,inf]
[0.5,inf] | [-0.5,0.5] | [-inf,inf]

[-inf,-0.5] | [-0.5,inf] | [-inf,inf]
[-inf,0] | [-0.5,inf] | [-inf,inf]
[-inf,0.5] | [-0.5,inf] | [-inf,inf]
[-inf,inf] | [-0.5,inf] | [-inf,inf]
[-0.5,-0.5] | [-0.5,inf] | [-inf,inf]
[-0.5,0] | [-0.5,inf] | [-inf,inf]
[-0.5,0.5] | [-0.5,inf] | [-inf,inf]
[-0.5,inf] | [-0.5,inf] | [-inf,inf]
[0,0] | [-0.5,inf] | [-inf,inf]
[0,0.5] | [-0.5,inf] | [-inf,inf]
[0,inf] | [-0.5,inf] | [-inf,inf]
[0.5,0.5] | [-0.5,inf] | [-inf,inf]
[0.5,inf] | [-0.5,inf] | [-inf,inf]


[-inf,-0.5] | [0,0] | [-inf,inf]
[-inf,0] | [0,0] | [-inf,inf]
[-inf,0.5] | [0,0] | [-inf,inf]
[-inf,inf] | [0,0] | [-inf,inf]
[-0.5,-0.5] | [0,0] | [-inf,inf]
[-0.5,0] | [0,0] | [-inf,inf]
[-0.5,0.5] | [0,0] | [-inf,inf]
[-0.5,inf] | [0,0] | [-inf,inf]
[0,0] | [0,0] | [-inf,inf]
[0,0.5] | [0,0] | [-inf,inf]
[0,inf] | [0,0] | [-inf,inf]
[0.5,0.5] | [0,0] | [-inf,inf]
[0.5,inf] | [0,0] | [-inf,inf]

[-inf,-0.5] | [0,0.5] | [-inf,inf]
[-inf,0] | [0,0.5] | [-inf,inf]
[-inf,0.5] | [0,0.5] | [-inf,inf]
[-inf,inf] | [0,0.5] | [-inf,inf]
[-0.5,-0.5] | [0,0.5] | [-inf,inf]
[-0.5,0] | [0,0.5] | [-inf,inf]
[-0.5,0.5] | [0,0.5] | [-inf,inf]
[-0.5,inf] | [0,0.5] | [-inf,inf]
[0,0] | [0,0.5] | [-inf,inf]
[0,0.5] | [0,0.5] | [-inf,inf]
[0,inf] | [0,0.5] | [-inf,inf]
[0.5,0.5] | [0,0.5] | [-inf,inf]
[0.5,inf] | [0,0.5] | [-inf,inf]

[-inf,-0.5] | [0,inf] | [-inf,inf]
[-inf,0] | [0,inf] | [-inf,inf]
[-inf,0.5] | [0,inf] | [-inf,inf]
[-inf,inf] | [0,inf] | [-inf,inf]
[-0.5,-0.5] | [0,inf] | [-inf,inf]
[-0.5,0] | [0,inf] | [-inf,inf]
[-0.5,0.5] | [0,inf] | [-inf,inf]
[-0.5,inf] | [0,inf] | [-inf,inf]
[0,0] | [0,inf] | [-inf,inf]
[0,0.5] | [0,inf] | [-inf,inf]
[0,inf] | [0,inf] | [-inf,inf]
[0.5,0.5] | [0,inf] | [-inf,inf]
[0.5,inf] | [0,inf] | [-inf,inf]


[-0x1.fffffffffffffp-1,0x1.fffffffffffffp-1] | [1,1] | [0,1]
[-2,0] | [-0x1.0cccccccccccdp1,0] | [-inf,inf]
[-2,0] | [-0x1.0cccccccccccdp1,-0x1.999999999999ap-2] | [-inf,inf]
[1,2] | [4,6] | [-inf,+inf]

* powRev1
# c right is 0
[-inf,0] | [-inf,0] | [-inf,inf]
[0,0.5] | [-inf,0] | [-inf,inf]

# c > 1
[-inf,-0.5] | [2,3] | [-inf,inf]
[-inf,0] | [2,3] | [-inf,inf]
[-inf,0.5] | [2,3] | [-inf,inf]
[-inf,inf] | [2,3] | [-inf,inf]
[-0.5,-0.5] | [2,3] | [-inf,inf]
[-0.5,0] | [2,3] | [-inf,inf]
[-0.5,0.5] | [2,3] | [-inf,inf]
[-0.5,inf] | [2,3] | [-inf,inf]
[0,0] | [2,3] | [-inf,inf]
[0,0.5] | [2,3] | [-inf,inf]
[0,inf] | [2,3] | [-inf,inf]
[0.5,0.5] | [2,3] | [-inf,inf]
[0.5,inf] | [2,3] | [-inf,inf]

[-inf,-0.5] | [2,3] | [1,inf]
[-inf,0] | [2,3] | [1,inf]
[-inf,0.5] | [2,3] | [1,inf]
[-inf,inf] | [2,3] | [1,inf]
[-0.5,-0.5] | [2,3] | [1,inf]
[-0.5,0] | [2,3] | [1,inf]
[-0.5,0.5] | [2,3] | [1,inf]
[-0.5,inf] | [2,3] | [1,inf]
[0,0] | [2,3] | [1,inf]
[0,0.5] | [2,3] | [1,inf]
[0,inf] | [2,3] | [1,inf]
[0.5,0.5] | [2,3] | [1,inf]
[0.5,inf] | [2,3] | [1,inf]

[-inf,-0.5] | [2,3] | [-inf,1]
[-inf,0] | [2,3] | [-inf,1]
[-inf,0.5] | [2,3] | [-inf,1]
[-inf,inf] | [2,3] | [-inf,1]
[-0.5,-0.5] | [2,3] | [-inf,1]
[-0.5,0] | [2,3] | [-inf,1]
[-0.5,0.5] | [2,3] | [-inf,1]
[-0.5,inf] | [2,3] | [-inf,1]
[0,0] | [2,3] | [-inf,1]
[0,0.5] | [2,3] | [-inf,1]
[0,inf] | [2,3] | [-inf,1]
[0.5,0.5] | [2,3] | [-inf,1]
[0.5,inf] | [2,3] | [-inf,1]

[-inf,-0.5] | [2,inf] | [-inf,inf]
[-inf,0] | [2,inf] | [-inf,inf]
[-inf,0.5] | [2,inf] | [-inf,inf]
[-inf,inf] | [2,inf] | [-inf,inf]
[-0.5,-0.5] | [2,inf] | [-inf,inf]
[-0.5,0] | [2,inf] | [-inf,inf]
[-0.5,0.5] | [2,inf] | [-inf,inf]
[-0.5,inf] | [2,inf] | [-inf,inf]
[0,0] | [2,inf] | [-inf,inf]
[0,0.5] | [2,inf] | [-inf,inf]
[0,inf] | [2,inf] | [-inf,inf]
[0.5,0.5] | [2,inf] | [-inf,inf]
[0.5,inf] | [2,inf] | [-inf,inf]

[-inf,-0.5] | [2,inf] | [1,inf]
[-inf,0] | [2,inf] | [1,inf]
[-inf,0.5] | [2,inf] | [1,inf]
[-inf,inf] | [2,inf] | [1,inf]
[-0.5,-0.5] | [2,inf] | [1,inf]
[-0.5,0] | [2,inf] | [1,inf]
[-0.5,0.5] | [2,inf] | [1,inf]
[-0.5,inf] | [2,inf] | [1,inf]
[0,0] | [2,inf] | [1,inf]
[0,0.5] | [2,inf] | [1,inf]
[0,inf] | [2,inf] | [1,inf]
[0.5,0.5] | [2,inf] | [1,inf]
[0.5,inf] | [2,inf] | [1,inf]

[-inf,-0.5] | [2,inf] | [-inf,1]
[-inf,0] | [2,inf] | [-inf,1]
[-inf,0.5] | [2,inf] | [-inf,1]
[-inf,inf] | [2,inf] | [-inf,1]
[-0.5,-0.5] | [2,inf] | [-inf,1]
[-0.5,0] | [2,inf] | [-inf,1]
[-0.5,0.5] | [2,inf] | [-inf,1]
[-0.5,inf] | [2,inf] | [-inf,1]
[0,0] | [2,inf] | [-inf,1]
[0,0.5] | [2,inf] | [-inf,1]
[0,inf] | [2,inf] | [-inf,1]
[0.5,0.5] | [2,inf] | [-inf,1]
[0.5,inf] | [2,inf] | [-inf,1]

[3,3] | [2,inf] | [-inf,+inf]
[1,inf] | [2,inf] | [-inf,1]
[-inf,-1] | [2,inf] | [1,inf]
# c < 1
[-inf,-0.5] | [0.5,0.75] | [-inf,inf]
[-inf,0] | [0.5,0.75] | [-inf,inf]
[-inf,0.5] | [0.5,0.75] | [-inf,inf]
[-inf,inf] | [0.5,0.75] | [-inf,inf]
[-0.5,-0.5] | [0.5,0.75] | [-inf,inf]
[-0.5,0] | [0.5,0.75] | [-inf,inf]
[-0.5,0.5] | [0.5,0.75] | [-inf,inf]
[-0.5,inf] | [0.5,0.75] | [-inf,inf]
[0,0] | [0.5,0.75] | [-inf,inf]
[0,0.5] | [0.5,0.75] | [-inf,inf]
[0,inf] | [0.5,0.75] | [-inf,inf]
[0.5,0.5] | [0.5,0.75] | [-inf,inf]
[0.5,inf] | [0.5,0.75] | [-inf,inf]

[-inf,-0.5] | [0.5,0.75] | [1,inf]
[-inf,0] | [0.5,0.75] | [1,inf]
[-inf,0.5] | [0.5,0.75] | [1,inf]
[-inf,inf] | [0.5,0.75] | [1,inf]
[-0.5,-0.5] | [0.5,0.75] | [1,inf]
[-0.5,0] | [0.5,0.75] | [1,inf]
[-0.5,0.5] | [0.5,0.75] | [1,inf]
[-0.5,inf] | [0.5,0.75] | [1,inf]
[0,0] | [0.5,0.75] | [1,inf]
[0,0.5] | [0.5,0.75] | [1,inf]
[0,inf] | [0.5,0.75] | [1,inf]
[0.5,0.5] | [0.5,0.75] | [1,inf]
[0.5,inf] | [0.5,0.75] | [1,inf]

[-inf,-0.5] | [0.5,0.75] | [-inf,1]
